Index,Enhanced Index,SAA,DRO,Dates
1.0,1.0,1.0,1.0,2001-01-02
1.0500986059706934,1.0500986059706934,1.025367898229974,1.0352396391952488,2001-01-03
0.9894475257835433,0.9894475257835433,0.9831782638861122,0.9844494037717749,2001-01-04
0.9737576378633126,0.9737576378633126,0.9745178610046202,0.9773391388981578,2001-01-05
0.9980821887155261,0.9980821887155261,1.0095344124314198,1.002389982061369,2001-01-08
1.003812189227544,1.003812189227544,0.998821094830771,1.001775148801851,2001-01-09
1.0095863854820417,1.0095863854820417,1.0050270025753392,1.010073874452332,2001-01-10
1.0103177005157316,1.0103177005157316,1.009191787445283,1.0056667031189659,2001-01-11
0.9937671290787666,0.9937671290787666,0.9914106986099612,0.9983319356296254,2001-01-12
1.006143093008215,1.006143093008215,1.0085983306477633,1.0078074856047365,2001-01-16
1.002125614319653,1.002125614319653,0.9922657707664603,1.0024485139694506,2001-01-17
1.013915319945298,1.013915319945298,0.988870112068343,1.003916441633003,2001-01-18
0.9959717710641635,0.9959717710641635,0.9840452093356873,0.9883158295689591,2001-01-19
1.0002681375162665,1.0002681375162665,1.0104002711518547,1.0070516144170822,2001-01-22
1.0130314987577989,1.0130314987577989,1.0147837690628778,1.0165029655368734,2001-01-23
1.002866821776001,1.002866821776001,0.9971756493612167,1.0045392503663397,2001-01-24
0.9950230603096933,0.9950230603096933,1.0014436774265891,0.9998253096661199,2001-01-25
0.9981141512214763,0.9981141512214763,1.0032828459123189,0.9959347604287181,2001-01-26
1.0068047478546813,1.0068047478546813,1.0131072057228618,1.0110240763866678,2001-01-29
1.0070078774752957,1.0070078774752957,1.008454599295894,1.0059776076826448,2001-01-30
0.9943802851995042,0.9943802851995042,1.014200099839769,0.9990209757361624,2001-01-31
1.005461131971339,1.005461131971339,1.0036232822709652,1.0011938163993195,2001-02-01
0.9825260103883352,0.9825260103883352,0.9925590974482931,0.9865602144878151,2001-02-02
1.003586658462732,1.003586658462732,0.9832561962871784,1.0010138133745867,2001-02-05
0.998486278075603,0.998486278075603,0.9993070851226139,1.0047393078429292,2001-02-06
0.9915918573091884,0.9915918573091884,1.0124202973860628,0.9999340972799957,2001-02-07
0.9937653459566149,0.9937653459566149,0.9926950385382802,0.9972962822981127,2001-02-08
0.9866644509762932,0.9866644509762932,0.9769849670514571,0.9908108594561148,2001-02-09
1.0118272906938333,1.0118272906938333,1.0162967708686645,1.0098967207185945,2001-02-12
0.9913478743611155,0.9913478743611155,1.0039488037180504,0.9974418141603112,2001-02-13
0.9978161929206997,0.9978161929206997,0.9953198526754764,0.9994579100213717,2001-02-14
1.0081235493413414,1.0081235493413414,0.9988967211637281,1.008271415580755,2001-02-15
0.9810947027901037,0.9810947027901037,0.9920488929378709,0.9884767524420697,2001-02-16
0.9826434370455297,0.9826434370455297,0.9932295110035805,0.9890800502909063,2001-02-20
0.9814925462027763,0.9814925462027763,0.9800893114762901,0.9866058655301908,2001-02-21
0.9980481703505494,0.9980481703505494,1.0102383818964957,0.9956199770344466,2001-02-22
0.9944445640747372,0.9944445640747372,0.9844632260703621,0.9953668519281476,2001-02-23
1.0174899581965073,1.0174899581965073,1.0241201232020831,1.020127951121204,2001-02-26
0.9923400916492698,0.9923400916492698,0.9962752032329386,0.9921195010211067,2001-02-27
0.9856908907909564,0.9856908907909564,0.9939708872890163,0.9890787379400464,2001-02-28
1.0010404044739756,1.0010404044739756,0.9916455523983358,0.9995233470335314,2001-03-01
0.9943202090919927,0.9943202090919927,1.0115130075692167,1.0048683883892395,2001-03-02
1.0058581245475575,1.0058581245475575,1.002724028244216,1.0060185639974857,2001-03-05
1.0099805981160968,1.0099805981160968,1.004738636498119,1.0067339452049082,2001-03-06
1.006452357238201,1.006452357238201,1.0024636722898148,1.0092334764088475,2001-03-07
1.0022584976129882,1.0022584976129882,1.0080257744560273,1.003367529381419,2001-03-08
0.9752360591656011,0.9752360591656011,0.9832834662973602,0.9826015167829859,2001-03-09
0.9568192441601132,0.9568192441601132,0.9724423749695514,0.968005773752023,2001-03-12
1.0148284974013413,1.0148284974013413,0.9955561019267578,1.003509770508542,2001-03-13
0.9741578809019988,0.9741578809019988,0.9869947155691996,0.9797967517717356,2001-03-14
1.0058712943967203,1.0058712943967203,1.0015422216121943,1.0000538091994167,2001-03-15
0.9803759261162387,0.9803759261162387,0.9770453496446018,0.9793328481995821,2001-03-16
1.0176266840329833,1.0176266840329833,1.0070582817268223,1.0163040090655728,2001-03-19
0.975922598828352,0.975922598828352,0.9871054933324872,0.9857699927984982,2001-03-20
0.9820762978450683,0.9820762978450683,0.9941446796540109,0.9827793451107998,2001-03-21
0.9959362837665328,0.9959362837665328,0.9817811838699978,0.9887770725226491,2001-03-22
1.0199090900650614,1.0199090900650614,1.022331182165316,1.0183448118732983,2001-03-23
1.0112823717987505,1.0112823717987505,1.009808934268129,1.0147437115370606,2001-03-26
1.0255750496990523,1.0255750496990523,1.0211430348475823,1.0150305299832987,2001-03-27
0.9755703462198806,0.9755703462198806,0.9853302391726714,0.9844622770108161,2001-03-28
0.9953696921765093,0.9953696921765093,0.9990503428062493,1.0004003460075286,2001-03-29
1.0107844465433138,1.0107844465433138,1.0095666477838643,1.0114379152653368,2001-03-30
0.9875380611678196,0.9875380611678196,0.984563316015311,0.9873241290422577,2001-04-02
0.96560688878527,0.96560688878527,0.9875335396690076,0.9856039095700291,2001-04-03
0.9970988910120343,0.9970988910120343,0.9910387572651855,0.9891295525895021,2001-04-04
1.0436799831463857,1.0436799831463857,1.0331248431299764,1.0372619849132299,2001-04-05
